ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
5,408,-10,10,999,100,80,90,240,NONE
10,400,10,-10,32.0,70.0,80,80,240,MOVE_LEFT
10,400,10,-10,999,100,0,80,240,MOVE_RIGHT
20,390,10,-10,999,100,5,75,240,MOVE_RIGHT
20,390,10,-10,31.0,70.0,75,75,240,MOVE_LEFT
30,380,10,-10,999,100,10,70,240,MOVE_RIGHT
30,380,10,-10,30.0,70.0,70,70,240,MOVE_LEFT
40,370,10,-10,29.0,70.0,70,65,240,MOVE_LEFT
40,370,10,-10,999,100,15,65,240,MOVE_RIGHT
50,360,10,-10,999,100,20,60,240,MOVE_RIGHT

60,350,10,-10,999,100,25,55,240,MOVE_RIGHT
60,350,10,-10,27.0,70.0,60,55,240,MOVE_LEFT
70,340,10,-10,999,100,30,50,240,MOVE_RIGHT
